select,engels,italiaans,reflexieve,prefix,infinitief,imperfectum singularis,imperfectum pluralis,participium,auxiliare,klasse ,vocaalverandering,,
1,laugh,ridere,,,lachen ,lachte,lachten,gelachen ,hebben,"6, half sterk ",,,
,"load, charge",caricare,,,laden ,laadde,laadden,geladen ,hebben,"6, half sterk ",,,
1,stand,stare in piedi,,,staan ,stond,stonden,gestaan ,hebben,"6, onregelmatig ",,,
1,exist,esistere,,be,staan ,bestond,bestonden,bestaan,hebben,"6, onregelmatig ",,,
1,"understand, mean",intendere,,ver,staan ,verstond,verstonden,verstaan,hebben,"6, onregelmatig ",,,
,,,,,blazen ,blies,,geblazen ,,7A,diverse vocalen-i:-ge+infinitief,,
,,,,,houwen ,hieuw,,gehouwen ,,7A,diverse vocalen-i:-ge+infinitief,,
1,let,lasciare,,,laten ,liet,lieten,gelaten ,hebben,7A,diverse vocalen-i:-ge+infinitief,,
1,walk,camminare,,,lopen ,liep,liepen,gelopen,hebben/zijn,7A,diverse vocalen-i:-ge+infinitief,,
1,"elapse, expire","passare, scadere",,ver,lopen ,verliep,verliepen,verlopen,zjin,7A,diverse vocalen-i:-ge+infinitief,,
1,guess,indovinare,,,raden ,raadde,raadden,geraden ,hebben,7A,diverse vocalen-i:-ge+infinitief,,
1,"call, shout","chiamare, gridare",,,roepen ,riep,riepen,geroepen ,hebben,7A,diverse vocalen-i:-ge+infinitief,,
1,sleep,dormire,,,slapen ,sliep,sliepen,geslapen ,hebben,7A,diverse vocalen-i:-ge+infinitief,,
1,fall,cadere,,,vallen ,viel,vielen,gevallen,zijn,7A,diverse vocalen-i:-ge+infinitief,,
1,"give birth, please","partorire, piacere",,be,vallen ,beviel,bevielen,bevallen,zijn,7A,diverse vocalen-i:-ge+infinitief,,
,"grow, rise",crescere,,,wassen ,wies,wiesen,gewassen,zijn,7A,diverse vocalen-i:-ge+infinitief,,
1,hang,pendere,,,hangen ,hing,hingen,gehangen ,hebben,7B,a-i-ge+infinitief,,
1,catch,catturare,,,vangen ,ving,vingen,gevangen ,hebben,7B,a-i-ge+infinitief,,
1,receive,ricevere,,ont,vangen ,ontving,ontvingen,ontvangen,hebben,7B,a-i-ge+infinitief,,
1,replace,sostituire,,ver,vangen ,verving,vervingen,vervangen,hebben,7B,a-i-ge+infinitief,,
1,"bake, fry","cuocere al forno, friggere",,,bakken ,bakte,bakten,gebakken ,hebben,"7, half sterk ",,,
,,,,,bannen ,bande,,gebannen ,,"7, half sterk ",,,
1,"roast, fry","arrostire, friggere",,,braden ,braadde,braadden,gebraden ,hebben,"7, half sterk ",,,
,,,,,brouwen ,brouwde,,gebrouwen ,,"7, half sterk ",,,
1,be called,chiamarsi,,,heten ,heette,heetten,geheten ,hebben,"7, half sterk ",,,
1,"separate, divide","separare, dividere",,,scheiden ,scheidde,scheidden,gescheiden ,hebben,"7, half sterk ",,,
1,"stretch, tighten",tendere,,,spannen ,spande,spanden,gespannen ,hebben,"7, half sterk ",,,
1,"relax, slacken","rilassare, distendere",,ont,spannen ,ontspande,ontspanden,ontspannen ,hebben,"7, half sterk ",,,
,,,,,spouwen ,spouwde,,gespouwen ,,"7, half sterk ",,,
,,,,,stoten ,stootte,,,stiet[28],,gestoten ,,"7, half sterk "
,,,,,vouwen ,vouwde,,gevouwen ,,"7, half sterk ",,,
,,,,,zouten ,zoutte,,gezouten ,,"7, half sterk ",,,
1,go,andare,,,gaan ,ging,gingen,gegaan,zijn,"7, onregelmatig ",,,
1,"hold, keep, love","tenere, amare",,,houden ,hield,hielden,gehouden ,hebben,"7, onregelmatig ",,,
1,maintain,mantenere,,onder,houden ,onderhield,onderhielden,onderhouden,hebben,"7, onregelmatig ",,,
